neighbourhood,neighbourhood_group
Woodlands,North Region
Bukit Timah,Central Region
Tampines,East Region
Bedok,East Region
Bukit Merah,Central Region
Newton,Central Region
Geylang,Central Region
River Valley,Central Region
Jurong West,West Region
Rochor,Central Region
Queenstown,Central Region
Serangoon,North-East Region
Marine Parade,Central Region
Pasir Ris,East Region
Toa Payoh,Central Region
Outram,Central Region
Punggol,North-East Region
Tanglin,Central Region
Hougang,North-East Region
Kallang,Central Region
Novena,Central Region
Downtown Core,Central Region
Bukit Panjang,West Region
Singapore River,Central Region
Orchard,Central Region
Ang Mo Kio,North-East Region
Bukit Batok,West Region
Museum,Central Region
Sembawang,North Region
Choa Chu Kang,West Region
Central Water Catchment,North Region
Sengkang,North-East Region
Clementi,West Region
Jurong East,West Region
Bishan,Central Region
Yishun,North Region
Mandai,North Region
Southern Islands,Central Region
Sungei Kadut,North Region
Western Water Catchment,West Region
Tuas,West Region
Marina South,Central Region
Lim Chu Kang,North Region
